
CASOS FALLIDOS EN LA REGRESIÓN AUTOMATIZADA:

MODULO: Pibox --> ESCENARIO: login latam
MODULO: Pibox --> ESCENARIO: login latam
MODULO: Pibox --> ESCENARIO: login latam
MODULO: Pibox --> ESCENARIO: login latam
MODULO: Pibox --> ESCENARIO: login latam
MODULO: Pibox --> ESCENARIO: login latam
MODULO: Pibox --> ESCENARIO: login latam
MODULO: Pibox --> ESCENARIO: login latam
MODULO: Pibox --> ESCENARIO: login latam
MODULO: Pibox --> ESCENARIO: login latam
MODULO: Pibox --> ESCENARIO: login latam
MODULO: Pibox --> ESCENARIO: login latam
MODULO: Pibox --> ESCENARIO: login latam
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
MODULO: Pibox --> ESCENARIO: registro exitoso
